Facility,ICE Dedicated /Non-Dedicated,Address,ICE Field Office,State,Contract Type ,Facility Operator,FY20 ALOS,FY20 Male Crim,FY20 Male Non-Crim,FY20 Female Crim,FY20 Female Non-Crim,FY 2020 ADP (Fac List on 09/08/20),FY21 ALOS,FY21 Male Crim,FY21 Male Non-Crim,FY21 Female Crim,FY21 Female Non-Crim,FY 2021 ADP (Fac List on 01/04/21),FY 2021 ADP (Fac List on 02/08/21),FY20 Guaranteed Min,FY21 Guaranteed Min
Immigration Centers of America - Farmville,Dedicated,"508 Waterworks Road Farmville, VA, 23901",Washington D.C.,Virginia,DIGSA,ICA,74.8,315.4,169.3,0.5,0,507,296,100,23,0,0,125,115,500,500
Imperial Regional Detention Facility,Dedicated,"1572 Gateway Road Calexico, CA, 92231",San Diego,California,CDF,MTC,87.1,58.7,389.4,1.8,46,513,89,50,191,2,29,267,290,640,640
Irwin County Detention Center,Non-Dedicated,"132 Cotton Dr. Ocilla, GA 31774",Atlanta,Georgia,IGSA,LASALLE,43,250.1,162.9,84.2,133.7,646,73,210,102,36,29,380,361,600,600
Jack Harwell Detention Center,Non-Dedicated,"3101 Marlin Hwy Waco, TX 76705",San Antonio,Texas,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Jackson Parish Correctional Center,Dedicated,"327 Industrial Drive Jonesboro, LA, 71251",New Orleans,Louisiana,DIGSA,GOV,103,97.5,359.4,31.9,116.4,623,127,50,125,15,45,242,210,751,751
Jefferson County Jail,Non-Dedicated,"200 Courthouse Way Rigby, ID 83442",Salt Lake City,Idaho,IGSA,GEO,,,,,,2,5,1,0,0,0,1,1,,
Joe Corley Detention Center,Non-Dedicated,"500 Hilbig Rd Conroe, TX, 77301",Houston,Texas,IGSA,GEO,39.1,52,66.9,10.7,19.9,153,116,21,28,0,0,51,43,0,
Johnson County Law Enforcement Center,Non-Dedicated,"1800 Ridgemar Drive Cleburne, TX, 76031",Dallas,Texas,IGSA,LASALLE,24.3,74.6,44.2,0,0,126,70,22,11,0,0,30,36,0,
Kandiyoh County Jail,Non-Dedicated,"2201 23rd St NE, Willmar, MN 56201",St. Paul,Minnesota,IGSA,GOV,57.1,29.8,11,12.5,1.8,54,59,47,14,10,3,74,74,0,
Kankakee County Detention Center,Non-Dedicated,"3050 Justice Way, Kankakee, IL 60901",Chicago,Illinois,USMS IGA,GOV,12.2,60.5,27.9,0.3,0.1,91,68,32,14,0,0,47,42,0,
Karnes County Correctional Center,Non-Dedicated,"810 Commerce Street Karnes City, TX, 78118",San Antonio,Texas,USMS IGA,GEO,0.2,0.1,0,0,0,0,,,,,,0,0,0,
Karnes County Family Residential Center,Dedicated,"409 FM 1144 Karnes City, TX, 78118",San Antonio,Texas,FAMILY,GEO,28.7,3.8,144.5,0,62.9,218,14,0,45,0,47,93,96,830,830
Kay County Detention Center,Non-Dedicated,"1101 West Dry Road Newkirk, OK, 74647",Dallas,Oklahoma,IGSA,GOV,74.9,21.1,9.4,14.2,42,89,32,20,9,3,8,40,45,,
Kenosha County Detention Center,,"4777 88th Avenue Kenosha, WI, 53144",Chicago,Wisconsin,,GOV,,,,,,,,,,,,,,,
Kent County Jail,Non-Dedicated,"1 Ball Ave NE Grand Rapids, MI 49503",Detroit,Michigan,IGSA,GOV,,,,,,0,,,,,,0,0,,
Krome Detention Center,Dedicated,"18201 SW 12th Street Miami, FL, 33194",Miami,Florida,SPC,GOV,27.6,338.6,194.1,0,0,542,30,245,117,0,0,366,347,450,450
La Palma Correctional Center,Dedicated,"5501 North La Palma Road Eloy, AZ",Phoenix,Arizona,DIGSA,GOV,91.6,243.8,729.6,0,0.2,1004,180,130,330,0,0,469,427,650,1800
La Palma Correctional Center - APSO,Dedicated,"5501 North La Palma Road Eloy, AZ",Phoenix,Arizona,DIGSA,GOV,66,221,357,0,0,592,83,153,159,0,0,313,299,650,1800
La Paz Adult Detention Facility,Non-Dedicated,"1109 W Arizona Ave, Parker, AZ 85344",Phoenix,Arizona,USMS IGA,GOV,,,,,,2,,,,,,1,1,,
La Plata County Jail,Non-Dedicated,"742 Turner Dr. Durango, CO 81303",Denver,Colorado,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
La Salle ICE Processing Center - Olla,Non-Dedicated,"15976 Highway 165. Olla, Louisiana 71465",New Orleans,Louisiana,IGSA,GOV,19.8,95.3,232.8,0,0,344,,,,,,,,550,
Laredo Detention Center,Dedicated,"4702 East Saunders Laredo, TX, 78401",San Antonio,Texas,DIGSA,CORECIVIC,36.3,1.5,0.9,25.5,159.6,194,,,,,,75,83,0,
LaSalle County Regional Detention Center,Non-Dedicated,"832 E. Texas 44 Encinal, TX, 78019",San Antonio,Texas,USMS IGA,GOV,4.7,2.3,2.4,0,0,3,,,,,,46,34,,
LaSalle ICE Processing Center - Jena,Dedicated,"830 Pine Hill Road Jena, LA, 71342",New Orleans,Louisiana,DIGSA,GEO,42.9,343.5,411.9,85.8,102.3,977,96,167,281,52,24,530,505,1170,1170
Lexington County Jail,Non-Dedicated,"521 Gibson Rd Lexington, SC 29072",Atlanta,South Carolina,USMS IGA,GOV,1.4,1.6,0.6,0,0,2,,,,,,3,2,0,
Limestone County Detention Center,Non-Dedicated,"910 North Tyus Street Groesbeck, TX 76642",San Antonio,Texas,USMS IGA,GOV,102.5,37.6,207.5,0,0,256,76,36,99,0,0,131,139,0,
Lincoln County Detention Center,Non-Dedicated,"65 Business Park Dr, Troy, MO 63379",Chicago,Missouri,IGSA,GOV,,,,,,5,,,,,,0,0,,
Linn County Jail,Non-Dedicated,"53 3rd Avenue Bridge
Cedar Rapids, IA 52401",St. Paul,Iowa,USMS IGA,GOV,8.8,3.5,0.9,0.4,0.1,5,15,2,1,1,0,3,3,0,
Long Creek Youth Development Center,Non-Dedicated,"675 Westbrook St, South Portland, ME 04106",Boston,Maine,JUVENILE,GOV,,,,,,,,,,,,,,,
Lonoke Police Department,Non-Dedicated,"203 Front St SW Lonoke, AR 72086",New Orleans,Arkansas,IGSA,GOV,2.1,0.8,0.3,0,0,1,,,,,,1,1,0,
Los Angeles Staging Facility (LASF),,"300 North Los Angeles Street Suite B-18, Los Angeles, CA 90012",Los Angeles,California,,GOV,,,,,,,,,,,,,,,
Lubbock County Detention Center,Non-Dedicated,"811 Main St Lubbock, TX 79401",Dallas,Texas,USMS IGA,GOV,,,,,,1,2,0,0,0,0,1,1,,
McHenry County Adult Correctional Facility,Non-Dedicated,"2200 N. Seminary Ave. Woodstock, IL, 60098",Chicago,Illinois,USMS IGA,GOV,1.5,0.8,0.6,0,0.1,216,33,79,41,3,2,127,118,0,
Mecklenburg County Detention Center North,Non-Dedicated,"5234 Spector Dr. Charlotte, NC 28269",Atlanta,North Carolina,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Mesa Verde ICE Processing Center,Dedicated,"425 Golden State Avenue Bakersfield, CA, 93301",San Francisco,California,CDF,GEO,40.7,187.8,17.1,8.3,34.4,261,294,47,1,0,0,48,46,320,320
